Sentence ID,Sentence
ടെക്നീഷ്യൻ.കസ്റ്റമർ.1.male,"ടെക്നീഷ്യൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
ടെക്നീഷ്യൻ.കസ്റ്റമർ.1.female,"ടെക്നീഷ്യൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
ടെക്നീഷ്യൻ.കസ്റ്റമർ.1.neutral,"ടെക്നീഷ്യൻ കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
ടെക്നീഷ്യൻ.കസ്റ്റമർ.0.male,"ടെക്നീഷ്യൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ടെക്നീഷ്യൻ.കസ്റ്റമർ.0.female,"ടെക്നീഷ്യൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ടെക്നീഷ്യൻ.കസ്റ്റമർ.0.neutral,"ടെക്നീഷ്യൻ കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ടെക്നീഷ്യൻ.ഒരു ആള.1.male,"ടെക്നീഷ്യൻ ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
ടെക്നീഷ്യൻ.ഒരു ആള.1.female,"ടെക്നീഷ്യൻ ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
ടെക്നീഷ്യൻ.ഒരു ആള.1.neutral,"ടെക്നീഷ്യൻ ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
ടെക്നീഷ്യൻ.ഒരു ആള.0.male,"ടെക്നീഷ്യൻ ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ടെക്നീഷ്യൻ.ഒരു ആള.0.female,"ടെക്നീഷ്യൻ ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ടെക്നീഷ്യൻ.ഒരു ആള.0.neutral,"ടെക്നീഷ്യൻ ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അക്കൗണ്ടൻ്റ്.കസ്റ്റമർ.1.male,"അക്കൗണ്ടൻ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
അക്കൗണ്ടൻ്റ്.കസ്റ്റമർ.1.female,"അക്കൗണ്ടൻ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
അക്കൗണ്ടൻ്റ്.കസ്റ്റമർ.1.neutral,"അക്കൗണ്ടൻ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
